tStep	sim_time	part_diameter	part_height
192	193	1.5889	1.59334
193	194	1.60145	1.60589
194	195	1.614	1.61843
195	196	1.62653	1.63096
196	197	1.63905	1.64347
197	198	1.65155	1.65597
198	199	1.66403	1.66844
199	200	1.6765	1.6809
200	201	1.68894	1.69334
201	202	1.70137	1.70576
202	203	1.71377	1.71815
203	204	1.72614	1.73052
204	205	1.73854	1.74292
205	206	1.75092	1.75529
206	207	1.76326	1.76762
207	208	1.77557	1.77992
208	209	1.78785	1.7922
209	210	1.8001	1.80443
210	211	1.81231	1.81664
211	212	1.82448	1.8288
212	213	1.83662	1.84093
213	214	1.84873	1.85303
214	215	1.86079	1.86508
215	216	1.87281	1.8771
216	217	1.8848	1.88907
217	218	1.89674	1.90101
218	219	1.90865	1.9129
219	220	1.92051	1.92475
220	221	1.93232	1.93656
221	222	1.9441	1.94832
222	223	1.95583	1.96004
223	224	1.96752	1.97172
224	225	1.97916	1.98335
225	226	1.99076	1.99493
226	227	2.00231	2.00647
227	228	2.01381	2.01797
228	229	2.02527	2.02941
229	230	2.03668	2.04081
230	231	2.04804	2.05216
231	232	2.05935	2.06346
232	233	2.07062	2.07471
233	234	2.08184	2.08592
234	235	2.09301	2.09708
235	236	2.10413	2.10818
236	237	2.11521	2.11925
237	238	2.12624	2.13027
238	239	2.13725	2.14126
239	240	2.14822	2.15222
240	241	2.15916	2.16314
241	242	2.17006	2.17403
242	243	2.18093	2.18489
243	244	2.19176	2.1957
244	245	2.20256	2.20649
245	246	2.21331	2.21723
246	247	2.22404	2.22794
247	248	2.23472	2.2386
248	249	2.24536	2.24923
249	250	2.25597	2.25982
250	251	2.26653	2.27037
251	252	2.27705	2.28088
252	253	2.28754	2.29134
253	254	2.29798	2.30177
254	255	2.30838	2.31215
255	256	2.31873	2.32249
256	257	2.32904	2.33279
257	258	2.33931	2.34304
258	259	2.34954	2.35325
259	260	2.35978	2.36348
260	261	2.36997	2.37365
261	262	2.38012	2.38378
262	263	2.39022	2.39386
263	264	2.40027	2.4039
264	265	2.41027	2.41388
265	266	2.42023	2.42382
266	267	2.43014	2.43372
267	268	2.44	2.44356
268	269	2.44982	2.45336
269	270	2.45959	2.46312
270	271	2.46931	2.47282
271	272	2.47899	2.48248
272	273	2.48862	2.4921
273	274	2.4982	2.50166
274	275	2.50774	2.51118
275	276	2.51723	2.52066
276	277	2.52669	2.53009
277	278	2.53612	2.53951
278	279	2.54554	2.5489
279	280	2.55493	2.55827
280	281	2.5643	2.56762
281	282	2.57366	2.57696
282	283	2.583	2.58628
283	284	2.59232	2.59558
284	285	2.60164	2.60488
285	286	2.61097	2.61418
286	287	2.62031	2.6235
287	288	2.62965	2.63282
288	289	2.639	2.64215
289	290	2.64836	2.65149
290	291	2.65772	2.66083
291	292	2.66708	2.67017
292	293	2.67644	2.67951
293	294	2.68596	2.68901
294	295	2.69546	2.69849
295	296	2.70494	2.70795
296	297	2.71441	2.7174
297	298	2.72387	2.72684
298	299	2.73332	2.73627
299	300	2.74276	2.74569
300	301	2.75218	2.75509
301	302	2.76159	2.76449
302	303	2.77098	2.77386
303	304	2.78036	2.78323
304	305	2.78973	2.79257
305	306	2.79907	2.8019
306	307	2.8084	2.81122
307	308	2.81772	2.82052
308	309	2.82702	2.8298
309	310	2.83629	2.83906
310	311	2.84555	2.8483
311	312	2.85479	2.85753
312	313	2.86402	2.86674
313	314	2.87323	2.87594
314	315	2.88245	2.88514
315	316	2.89166	2.89434
316	317	2.90088	2.90354
317	318	2.91009	2.91274
318	319	2.9193	2.92194
319	320	2.92852	2.93114
320	321	2.93772	2.94033
321	322	2.94692	2.94952
322	323	2.95612	2.9587
323	324	2.9653	2.96787
324	325	2.97448	2.97704
325	326	2.98364	2.98619
326	327	2.9928	2.99534
327	328	3.00194	3.00447
328	329	3.01107	3.01358
329	330	3.02018	3.02269
330	331	3.02928	3.03178
331	332	3.03837	3.04085
332	333	3.04744	3.04991
333	334	3.0565	3.05896
334	335	3.06554	3.06799
335	336	3.07456	3.07701
336	337	3.08357	3.086
337	338	3.09255	3.09498
338	339	3.10151	3.10393
339	340	3.11045	3.11287
340	341	3.11937	3.12178
341	342	3.12827	3.13067
342	343	3.13714	3.13953
343	344	3.14599	3.14838
344	345	3.15482	3.1572
345	346	3.16362	3.16599
346	347	3.1724	3.17477
347	348	3.18116	3.18352
348	349	3.18988	3.19224
349	350	3.19859	3.20094
350	351	3.20727	3.20961
351	352	3.21592	3.21826
352	353	3.22455	3.22689
353	354	3.23315	3.23548
354	355	3.24172	3.24405
355	356	3.25027	3.2526
356	357	3.25879	3.26112
357	358	3.26729	3.26961
358	359	3.2758	3.27812
359	360	3.28433	3.28665
360	361	3.29285	3.29517
361	362	3.30135	3.30368
362	363	3.30998	3.3123
363	364	3.31853	3.32086
364	365	3.32707	3.3294
365	366	3.33559	3.33793
366	367	3.34409	3.34643
367	368	3.35257	3.35492
368	369	3.36103	3.36338
369	370	3.36947	3.37183
370	371	3.37788	3.38025
371	372	3.38628	3.38865
372	373	3.39465	3.39703
373	374	3.40299	3.40539
374	375	3.41132	3.41372
375	376	3.41962	3.42203
376	377	3.42789	3.43031
377	378	3.43615	3.43858
378	379	3.44437	3.44681
379	380	3.45257	3.45502
380	381	3.46075	3.46321
381	382	3.46889	3.47137
382	383	3.47702	3.4795
383	384	3.48511	3.48761
384	385	3.49318	3.49569
385	386	3.50122	3.50375
386	387	3.50923	3.51177
387	388	3.51722	3.51977
388	389	3.52518	3.52775
389	390	3.53311	3.53569
390	391	3.54101	3.54361
391	392	3.54888	3.5515
392	393	3.55673	3.55936
393	394	3.56454	3.56719
394	395	3.57233	3.575
395	396	3.58009	3.58278
396	397	3.58782	3.59052
397	398	3.59552	3.59824
398	399	3.60319	3.60593
399	400	3.61083	3.6136
400	401	3.61845	3.62124
401	402	3.62605	3.62885
402	403	3.63362	3.63645
403	404	3.64117	3.64402
404	405	3.6487	3.65156
405	406	3.6562	3.65908
406	407	3.66367	3.66658
407	408	3.67112	3.67406
408	409	3.67855	3.6815
409	410	3.68594	3.68893
410	411	3.69332	3.69632
411	412	3.70066	3.70369
412	413	3.70798	3.71104
413	414	3.71528	3.71836
414	415	3.72254	3.72565
415	416	3.72978	3.73291
416	417	3.73699	3.74015
417	418	3.74418	3.74737
418	419	3.75134	3.75456
419	420	3.75847	3.76172
420	421	3.76564	3.76892
421	422	3.77277	3.77609
422	423	3.77987	3.78323
423	424	3.78694	3.79034
424	425	3.79398	3.79741
425	426	3.80098	3.80446
426	427	3.80796	3.81148
427	428	3.8149	3.81846
428	429	3.82182	3.82541
429	430	3.8287	3.83234
430	431	3.83558	3.83926
431	432	3.84243	3.84616
432	433	3.84928	3.85304
433	434	3.8561	3.85991
434	435	3.86291	3.86676
435	436	3.8697	3.8736
436	437	3.87647	3.88042
437	438	3.88323	3.88722
438	439	3.88996	3.894
439	440	3.89668	3.90076
440	441	3.90337	3.9075
441	442	3.91005	3.91422
442	443	3.9167	3.92092
443	444	3.92333	3.9276
444	445	3.92994	3.93425
